@relation satimage-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement

@attribute Aattr numeric
@attribute Battr numeric
@attribute Cattr numeric
@attribute Dattr numeric
@attribute Eattr numeric
@attribute Fattr numeric
@attribute A1attr numeric
@attribute B2attr numeric
@attribute C3attr numeric
@attribute D4attr numeric
@attribute E5attr numeric
@attribute F6attr numeric
@attribute A7attr numeric
@attribute B8attr numeric
@attribute C9attr numeric
@attribute D10attr numeric
@attribute E11attr numeric
@attribute F12attr numeric
@attribute A13attr numeric
@attribute B14attr numeric
@attribute C15attr numeric
@attribute D16attr numeric
@attribute E17attr numeric
@attribute F18attr numeric
@attribute A19attr numeric
@attribute B20attr numeric
@attribute C21attr numeric
@attribute D22attr numeric
@attribute E23attr numeric
@attribute F24attr numeric
@attribute A25attr numeric
@attribute B26attr numeric
@attribute C27attr numeric
@attribute D28attr numeric
@attribute E29attr numeric
@attribute F30attr numeric
@attribute class {1.,2.,3.,4.,5.,7.}

@data
-0.470385,-0.550421,-1.519325,-1.460111,-0.45352,-0.709742,-1.026798,-1.293344,-0.438908,-0.520206,-1.493892,-1.284866,-0.388869,-0.458504,-1.518567,-1.143298,-0.372716,-0.444054,-1.683835,-1.345024,-0.06236,-0.605693,-1.491346,-1.335476,-0.085593,-0.542629,-1.457622,-1.403834,-0.366425,-0.356526,-1.443454,-1.397737,-0.054291,-0.51974,-1.433084,-1.391045,7.
-0.176394,-0.506719,-1.759624,-1.301361,-0.158561,-0.491273,-1.746909,-1.504527,-0.141965,-0.476466,-1.734326,-1.284866,-0.241839,-0.546032,-1.578562,-1.460222,-0.22498,-0.531371,-1.803469,-1.450091,-0.210957,-0.518297,-1.55112,-1.440349,-0.453767,-0.586483,-1.878991,-1.351178,-0.440539,-0.575371,-1.623048,-1.345226,-0.128909,-0.256778,-1.612773,-1.181119,7.
-1.205362,-1.293356,-1.45925,-0.666362,-1.190918,-1.277763,-1.6869,-1.029365,-0.958558,-1.26379,-1.674218,-1.021446,-1.050503,-1.290018,-0.858614,-0.826374,-1.03753,-1.404541,-1.504385,-0.819691,-1.02824,-1.52335,-1.730443,-1.073294,-0.748307,-1.025027,-1.578013,-1.035244,-0.736996,-1.188137,-1.383589,-0.872628,-0.725852,-1.308627,-1.373187,-0.656302,5.
0.779075,0.498427,0.042617,0.127386,0.800057,0.338911,0.05337,-0.079042,0.8231,0.354598,0.068926,-0.231187,1.081428,0.679357,0.281304,0.018756,0.735308,0.516432,0.050856,-0.399425,0.457729,0.180869,-0.355636,-0.601368,1.239836,0.729148,0.528832,0.123183,1.264088,0.737701,0.771544,0.12508,1.288832,0.751244,0.783084,0.130923,7.
-0.470385,-0.200805,-0.197682,0.021553,-0.158561,0.688462,0.593453,0.501711,-0.141965,0.879481,0.609902,0.506388,-0.756443,-0.721087,-0.91861,-0.45663,-0.742057,-0.182104,-0.188412,-0.084225,-0.433852,0.180869,0.540978,0.342486,-0.748307,-0.104085,-0.374101,-0.192752,-0.440539,0.343779,0.113031,0.387634,-0.128909,0.882725,0.902877,0.603258,1.
0.338089,0.192513,-0.377906,-0.507613,0.652577,0.382605,-0.126658,-0.131838,0.674628,0.398338,-0.111399,-0.125819,0.493309,0.241718,-0.318653,-0.350989,0.809176,0.647407,0.17049,-0.346891,0.829222,0.661547,0.182332,-0.339186,0.503487,0.159041,-0.193515,-0.456031,0.819403,0.343779,0.053167,-0.242497,0.841124,0.532109,0.303913,-0.236449,7.
-1.646348,-2.167396,0.403065,1.60905,-1.633357,-2.151641,0.413425,1.768809,-1.849387,-2.269815,0.730119,2.192275,-1.712136,-2.165295,0.041321,1.286452,-1.923949,-2.059418,0.290124,1.649374,-1.696927,-2.135121,0.540978,2.020448,-1.85283,-2.25295,0.28805,1.544888,-1.84871,-2.151056,0.59195,1.542874,-2.068975,-2.00986,0.303913,1.757854,2.
-1.719846,-2.385906,2.025082,3.619879,-1.707096,-2.37011,2.333722,3.405477,-1.700916,-2.357295,2.052504,3.035218,-2.006196,-2.340351,2.14117,3.55774,-1.997817,-2.321368,1.845364,3.120307,-1.696927,-2.309913,1.497365,2.754557,-1.85283,-2.384513,1.491962,3.177216,-1.84871,-2.151056,1.789246,3.170712,-1.845121,-2.141341,1.501841,3.174859,2.
1.073066,0.629533,0.403065,0.021553,1.389975,0.994319,0.173388,0.02655,1.416986,0.835741,0.189143,0.032233,1.375487,0.854412,0.521286,-0.086885,1.400122,0.8657,0.529392,0.283508,1.126416,0.705245,0.301881,0.132741,1.387105,1.036129,0.82981,0.228494,1.412317,1.044084,0.831409,0.230101,1.438068,1.058033,0.603395,0.025959,3.
1.661048,1.41617,1.123962,0.497802,1.389975,1.038013,0.83349,0.290528,1.416986,1.054442,0.850335,0.295652,1.743062,1.204523,1.121243,0.494142,1.400122,1.214967,0.828476,0.493642,1.42361,1.22962,0.839849,0.499795,1.90255,1.123838,0.769615,0.333806,1.931116,1.131622,1.070868,0.12508,1.587304,1.320996,1.082566,0.498294,3.
0.044099,0.716937,0.763513,0.497802,-0.2323,0.557381,0.533444,0.501711,-0.438908,0.179637,0.068926,-0.073135,-0.462384,0.329246,0.341299,0.388501,-0.742057,0.341798,0.349941,0.178442,-0.731046,0.355661,0.122558,0.185177,-0.895577,0.378313,0.649224,0.228494,-0.885225,0.212472,0.113031,0.230101,-0.875088,0.225319,0.124223,0.025959,1.
0.117596,-0.288209,-1.45925,-0.983862,0.136399,-0.272803,-1.026798,-0.765386,0.154978,0.223378,-0.351833,-0.547291,0.34628,0.197954,-0.618631,-0.720733,0.070493,-0.182104,-0.846398,-0.924758,-0.136658,-0.168714,-1.013152,-0.915985,0.503487,0.071332,-0.554688,-0.561342,0.522946,-0.268987,-0.545481,-0.767606,0.244181,-0.256778,-1.253394,-1.128637,7.
-0.764376,0.323619,0.643364,0.180303,-0.45352,0.688462,0.653462,0.607303,-0.438908,0.529559,0.369468,0.40102,-0.682928,0.591829,0.341299,0.230039,-0.446584,0.385456,0.649025,0.598708,-0.433852,0.399359,0.361655,0.237614,-0.895577,0.466022,0.408441,0.017871,-0.662882,0.081165,0.172896,0.230101,-0.651234,0.093838,0.18412,0.235886,1.
1.220062,1.110256,0.763513,0.497802,1.242496,1.125401,0.773481,0.343324,0.971571,0.74826,0.30936,0.1376,1.301973,1.073232,0.641278,0.388501,1.695595,1.083992,0.888293,0.178442,1.349311,0.880036,0.361655,0.185177,1.46074,1.211546,0.890006,0.597084,1.486431,1.21916,0.651815,0.387634,1.512686,1.014206,0.902877,0.393331,3.
1.734545,1.19766,0.883663,0.391969,1.758674,1.212789,0.8935,0.39612,1.491221,1.010702,0.910444,0.032233,1.375487,1.204523,0.941256,0.441321,1.695595,0.996675,0.94811,0.230975,1.42361,1.22962,0.7203,0.447359,1.681645,1.036129,0.82981,0.491773,1.708774,1.262929,1.130733,0.282612,1.73654,1.277169,0.842981,0.498294,3.
0.191094,-0.113401,-0.55813,-0.930945,-0.084821,-0.622354,-0.78676,-0.765386,0.526157,0.267118,-0.051291,-0.178503,-0.09481,-0.370976,-0.738623,-0.826374,0.513703,-0.00747,-0.487496,-0.451958,0.829222,0.530453,0.062784,-0.234313,-0.453767,-0.674192,-0.855666,-0.824621,0.152375,0.343779,-0.365887,-0.40003,0.468035,0.356801,-0.594534,-0.603821,7.
-1.058367,-1.293356,-1.519325,-1.301361,-1.043438,-1.277763,-1.506872,-1.293344,-1.032794,-1.26379,-1.734326,-1.284866,-1.271047,-1.20249,-1.578562,-1.24894,-1.259135,-1.317224,-1.803469,-1.239957,-0.953942,-1.30486,-1.371797,-1.230603,-0.969212,-1.288154,-1.216839,-0.982588,-0.736996,-1.144368,-1.0244,-0.767606,-0.725852,-1.001838,-0.774223,-0.393894,5.
-0.911371,-0.463017,-0.55813,-0.348863,-1.190918,-0.447579,-0.546723,-0.34302,-0.884323,-0.257765,-0.291724,-0.178503,-0.976988,-0.370976,-0.738623,-0.45663,-0.963662,-0.356737,-0.188412,-0.451958,-0.656748,-0.168714,-0.475184,-0.077004,-1.042846,-0.498775,-0.855666,-0.403375,-0.736996,-0.181449,-0.365887,-0.189986,-0.42738,0.181492,0.064327,0.025959,1.
0.338089,-0.025997,-0.678279,-0.24303,0.652577,0.338911,0.05337,-0.079042,1.268514,0.923221,0.790227,0.506388,0.419794,0.329246,0.101317,0.018756,1.326253,0.8657,0.888293,0.388575,1.720804,1.098526,0.899623,0.814413,0.650756,0.202896,-0.133319,0.017871,1.486431,1.000315,0.891274,0.597678,1.214214,1.014206,0.902877,0.603258,7.
-0.764376,-1.118548,-1.339101,-0.825112,-1.043438,-1.408844,-1.086807,-0.606999,-1.032794,-1.526231,-1.313567,-1.07413,-0.241839,-0.896143,-1.398575,-0.879195,-0.446584,-1.011614,-1.145483,-0.872224,-0.731046,-1.30486,-0.893604,-0.653804,-0.748307,-1.025027,-1.036253,-0.771965,-0.736996,-1.013061,-1.0244,-0.767606,-0.725852,-1.133319,-1.013809,-0.761265,5.
-0.102897,-0.288209,-0.798429,-0.930945,0.210138,-0.098028,-0.78676,-0.765386,0.229214,-0.082804,-0.772592,-0.916079,-0.09481,-0.020865,-0.978606,-1.037657,-0.077243,-0.182104,-0.726764,-1.029824,-0.06236,-0.168714,-0.953378,-1.020858,-0.159228,-0.191794,-0.855666,-0.824621,-0.144082,-0.181449,-1.084265,-1.082671,-0.128909,-0.169124,-1.073705,-0.813747,7.
-0.176394,-0.200805,-1.279026,-1.089695,-0.45352,-0.534967,-1.266835,-1.293344,-0.141965,-0.520206,-1.253459,-1.284866,-0.388869,-0.764851,-1.938536,-1.513043,-0.372716,-0.924298,-1.683835,-1.712757,-0.656748,-0.911579,-1.909765,-1.70253,-0.674672,-1.15659,-1.939186,-1.772424,-0.959339,-1.275675,-1.922372,-1.765313,-0.949706,-1.2648,-1.912255,-1.600972,5.
-1.352357,-1.81778,0.583289,1.132801,-1.043438,-2.020559,0.83349,1.768809,-1.329737,-1.876153,0.30936,0.92786,-1.491592,-2.165295,1.361226,2.448506,-0.963662,-1.491858,0.529392,0.913908,-0.433852,-1.173766,-0.654507,-0.444059,-0.748307,-1.025027,-0.133319,0.017871,-0.440539,-0.750447,-1.203994,-0.97765,-0.128909,-0.563568,-1.433084,-1.338564,2.
-0.249892,-0.550421,-1.5794,-1.248444,-0.45352,-0.884518,-1.986946,-1.610118,-0.735851,-0.870128,-1.97476,-1.60097,0.125735,-0.108393,-0.798618,-0.984836,-0.446584,-0.749664,-2.222188,-1.345024,-0.433852,-0.867881,-2.029314,-1.545221,0.061677,-0.367211,-1.036253,-0.719309,0.07826,-0.531602,-1.263859,-1.082671,-0.42738,-0.695049,-1.732566,-1.286082,7.
-0.176394,-0.463017,-1.218951,-0.983862,-0.45352,-0.753436,-1.866928,-1.34614,-0.438908,-0.738907,-1.854543,-1.33755,0.05222,-0.370976,-0.858614,-0.720733,-0.151111,-0.531371,-1.504385,-0.924758,-0.433852,-0.693089,-1.730443,-1.28304,0.208947,-0.279503,-1.036253,-0.771965,0.226489,-0.268987,-1.263859,-0.925139,-0.054291,-0.432086,-1.672669,-1.128637,7.
0.044099,-0.375613,-1.399176,-1.036778,0.062659,-0.360191,-1.386853,-1.029365,0.080742,-0.170284,-0.892808,-0.863395,-0.168324,-0.283448,-1.218588,-0.984836,0.144362,-0.269421,-1.444568,-0.977291,0.160536,-0.25611,-1.013152,-0.758677,0.650756,0.027478,-0.614884,-0.508686,0.374717,0.212472,-0.605346,-0.715095,0.094945,-0.169124,-0.834119,-0.91871,7.
-1.205362,-1.38076,-1.519325,-0.772195,-1.412137,-1.365151,-1.266835,-0.923774,-1.181266,-1.35127,-1.253459,-0.916079,-0.976988,-1.421309,-1.698554,-1.24894,-1.185267,-1.404541,-1.444568,-1.239957,-1.176837,-1.392256,-1.431571,-1.230603,-1.337386,-1.288154,-1.7586,-1.0879,-1.033453,-1.406983,-1.323724,-0.820117,-1.024324,-1.2648,-1.073705,-0.603821,5.
-0.176394,1.066554,0.883663,0.815302,-0.969698,-0.578661,0.653462,0.818486,-1.255501,-1.26379,-0.111399,1.19128,-0.168324,1.204523,0.881261,0.758245,-0.668189,0.210823,0.649025,0.756308,-1.622628,-1.872933,0.361655,2.072885,-0.085593,0.816857,0.950202,0.597084,-0.662882,0.256241,0.71168,0.597678,-1.17356,-1.045665,0.423706,1.600409,1.
-1.499353,-0.594123,-0.798429,-0.401779,-1.485877,-0.447579,-0.546723,-0.395816,-1.478209,-0.563946,-0.772592,-0.547291,-1.418077,-0.721087,-0.378649,-0.350989,-1.406871,-0.356737,-0.128595,-0.136758,-1.176837,-0.343506,-0.116539,-0.129441,-1.411021,-0.45492,-0.313906,-0.192752,-1.181682,-0.093911,0.172896,0.020058,-1.17356,-0.256778,-0.055466,-0.183967,1.
0.117596,-0.200805,-0.498055,-0.454696,-0.084821,-0.534967,-0.966788,-0.818182,-0.067729,-0.520206,-0.952917,-0.652659,0.419794,0.15419,-0.378649,-0.192527,0.144362,-0.356737,-0.846398,-0.609558,0.457729,-0.168714,-0.594733,-0.601368,0.356217,0.334459,0.047268,-0.08744,0.671174,0.562624,-0.186293,-0.084964,0.691889,0.356801,-0.175259,-0.236449,7.
-1.866841,-1.905184,0.342991,1.503217,-1.633357,-1.627314,0.353416,1.13526,-1.181266,-1.482491,0.129035,0.980544,-0.682928,-1.071198,-0.07867,0.441321,-0.372716,-0.618688,-0.068778,0.230975,-0.06236,-0.25611,-0.534958,-0.181877,0.135312,-0.016376,0.047268,-0.245408,-0.069968,-0.181449,0.053167,-0.084964,-0.054291,-0.344432,-0.175259,-0.236449,2.
0.705578,0.192513,-0.377906,-0.560529,0.431358,0.338911,-0.126658,-0.554203,0.451921,0.223378,-0.532158,-0.547291,0.640339,0.37301,-0.378649,-0.50945,0.956912,0.210823,-0.128595,-0.714624,0.383431,0.224567,-0.355636,-0.496495,0.798026,0.466022,-0.313906,-0.350719,0.819403,0.475086,-0.306022,-0.557562,0.841124,0.269146,-0.295052,-0.551339,4.
-0.690878,-1.031144,-1.038727,-0.930945,-0.674739,-1.015599,-1.026798,-0.712591,-0.884323,-1.001348,-1.013025,-0.494607,-0.903473,-1.071198,-1.278584,-0.773554,-0.668189,-1.055273,-1.025849,-0.767158,-0.656748,-0.911579,-0.774055,-0.758677,-0.969212,-1.288154,-0.976057,-0.666654,-0.959339,-1.144368,-1.203994,-0.662584,-0.352763,-0.958011,-0.953912,-0.656302,5.
-0.249892,1.110256,1.063887,0.709468,-0.2323,1.125401,0.773481,0.712894,-0.216201,1.141922,1.391311,0.92786,0.125735,1.073232,1.181239,0.811066,-0.151111,1.258626,0.888293,0.808841,-0.136658,1.098526,1.497365,0.814413,-0.159228,1.211546,1.190984,0.965674,-0.144082,1.394236,1.190598,0.965254,-0.128909,1.233342,1.202359,0.603258,1.
-0.176394,1.19766,1.184036,0.603635,-0.158561,1.212789,1.193546,0.76569,0.080742,1.229403,1.210986,0.769808,-0.09481,1.204523,1.241235,0.811066,-0.372716,1.214967,0.94811,0.808841,-0.06236,1.22962,1.258268,1.024158,-0.380132,1.255401,1.371571,0.860363,-0.069968,1.044084,1.130733,0.7027,-0.054291,1.277169,1.382048,1.075593,1.
-1.646348,-2.167396,1.544484,2.773215,-1.412137,-2.282722,1.913657,2.771928,-1.62668,-2.269815,1.571636,2.771798,-1.712136,-2.296587,1.7212,2.76543,-1.702344,-2.27771,1.725731,2.752574,-1.696927,-2.266215,2.035333,3.174047,-1.85283,-2.033678,2.093918,2.861281,-1.84871,-2.238594,2.387894,3.065691,-1.845121,-2.141341,2.400287,3.332304,2.
-1.866841,-2.385906,0.403065,1.60905,-1.854576,-2.282722,0.413425,1.768809,-1.849387,-2.007374,-0.051291,0.611756,-1.932681,-2.384115,1.361226,2.395685,-1.923949,-2.365027,1.366829,2.384841,-2.142717,-2.266215,1.377816,2.597248,-2.073735,-2.472222,2.093918,2.861281,-2.071053,-2.45744,1.430057,2.43556,-2.068975,-2.448131,1.441945,2.650043,2.
0.117596,1.241362,1.184036,0.815302,-0.158561,1.256483,1.193546,0.818486,-0.141965,0.879481,0.67001,0.40102,0.05222,1.204523,1.181239,0.758245,-0.151111,1.214967,1.187378,0.598708,-0.136658,1.01113,0.899623,0.761977,-0.085593,1.211546,1.251179,0.807707,-0.069968,1.21916,1.250463,0.597678,-0.054291,1.233342,1.262255,0.603258,1.
0.705578,0.323619,-0.55813,-0.772195,0.726317,0.207829,-0.546723,-0.554203,0.748864,0.223378,-0.351833,-0.547291,0.640339,0.022899,-0.618631,-0.720733,0.661439,0.210823,-0.60713,-0.714624,0.680625,0.224567,-0.594733,-0.496495,0.503487,0.24675,-0.79547,-0.771965,0.819403,0.081165,-0.784941,-0.767606,0.542653,0.093838,-0.534637,-0.761265,4.
0.779075,0.498427,0.042617,-0.08428,1.095016,0.688462,0.293407,0.132141,0.8231,0.70452,0.068926,-0.073135,0.713854,0.504301,-0.198662,-0.403809,1.104649,0.516432,0.050856,-0.189291,1.126416,0.530453,0.062784,-0.391622,0.945296,0.159041,-0.193515,-0.245408,0.967631,0.562624,0.053167,-0.242497,0.99036,0.575936,0.303913,-0.236449,4.
0.338089,1.372468,1.184036,0.974051,0.062659,1.212789,0.8935,0.39612,-0.438908,0.61704,0.369468,-0.125819,0.19925,1.379579,1.541213,0.811066,0.21823,1.389601,1.247195,0.808841,0.234834,1.01113,0.7203,0.447359,0.798026,1.430818,1.732744,0.860363,0.522946,1.438005,1.370192,0.7027,0.169563,1.277169,1.382048,0.865666,1.
0.63208,0.585831,0.883663,0.762385,0.062659,0.382605,0.653462,0.02655,-0.661615,-0.345245,0.129035,0.032233,1.375487,1.204523,1.241235,0.599783,0.513703,0.254481,0.17049,-0.346891,-0.359554,-0.25611,-0.295861,-0.339186,1.092566,1.255401,1.371571,0.702396,0.152375,-0.006373,-0.186293,0.12508,-0.352763,-0.169124,-0.175259,-0.079004,5.
-0.102897,0.97915,0.943738,0.444886,-0.084821,0.819544,0.953509,0.448916,-0.364672,0.267118,0.189143,-0.178503,0.125735,0.854412,0.821265,0.494142,-0.077243,1.040333,1.127561,0.493642,-0.359554,0.705245,0.301881,0.132741,0.135312,1.036129,1.130788,0.702396,0.152375,1.044084,1.130733,0.7027,-0.42738,1.058033,0.842981,0.498294,1.
-0.176394,-0.463017,-0.798429,-0.560529,0.136399,-0.272803,-0.546723,-0.554203,0.154978,-0.082804,-0.532158,-0.389239,0.05222,-0.195921,-0.858614,-0.50945,0.365966,0.036189,-0.60713,-0.346891,0.383431,0.049776,-0.116539,-0.339186,0.503487,0.24675,-0.073123,0.017871,0.226489,0.081165,-0.306022,-0.189986,0.244181,0.093838,-0.055466,-0.183967,4.
0.117596,1.241362,1.844858,0.974051,0.136399,1.256483,1.853648,0.976873,0.154978,1.273143,1.210986,0.822492,-0.168324,0.985704,1.481217,0.758245,0.070493,1.214967,1.486463,0.966441,-0.136658,1.01113,1.198494,0.761977,-0.380132,0.992274,0.950202,0.597084,-0.366425,1.000315,1.250463,0.807721,-0.054291,1.233342,1.561738,0.813184,1.
1.367057,1.022851,0.583289,0.233219,1.389975,1.038013,0.593453,0.237733,1.416986,0.879481,0.609902,0.242968,1.522517,0.898176,0.521286,0.494142,1.547858,1.12765,0.529392,0.336042,1.275013,0.923734,0.780074,0.132741,1.681645,0.860711,0.348246,0.175838,1.338203,0.869008,0.352491,0.020058,1.73654,0.882725,0.663291,0.025959,3.
1.514052,1.285064,1.36426,0.709468,1.537455,1.300177,0.773481,0.501711,1.565457,1.316883,0.790227,0.506388,1.669547,1.073232,1.181239,0.388501,1.695595,0.8657,0.349941,0.020842,1.052117,0.705245,0.122558,0.027868,1.166201,0.597585,0.348246,-0.350719,0.967631,0.387548,0.113031,-0.347519,0.691889,0.225319,-0.354948,-0.498857,3.
1.073066,1.241362,1.36426,0.709468,0.136399,-0.01064,-0.186668,0.132141,-0.364672,-0.170284,-0.171507,-0.073135,1.081428,0.854412,1.121243,0.494142,0.144362,-0.182104,-0.188412,-0.189291,-0.433852,-0.343506,-0.176313,0.027868,0.650756,0.553731,0.769615,0.702396,0.967631,0.343779,0.053167,0.335123,-0.203527,-0.51974,-0.894016,-0.236449,1.
1.661048,1.41617,1.724709,1.079884,2.053633,1.649728,1.73363,1.082464,1.416986,1.448104,1.391311,0.717124,0.419794,1.029468,0.821265,0.494142,0.735308,1.214967,1.426646,0.913908,0.754923,1.054828,1.13872,0.499795,-0.453767,0.159041,0.28805,-0.08744,-0.440539,0.562624,0.292626,0.335123,-0.203527,0.751244,0.543498,0.498294,1.
-2.087334,-2.167396,0.943738,1.60905,-1.854576,-2.37011,0.953509,1.979992,-1.62668,-2.269815,0.429577,1.19128,-1.932681,-2.296587,0.281304,1.656196,-1.923949,-2.365027,0.828476,1.649374,-1.919822,-2.353611,0.540978,1.653394,-1.85283,-2.165241,0.28805,1.123642,-1.84871,-2.238594,0.59195,1.122787,-2.068975,-2.228996,0.603395,1.547928,2.
-1.352357,-0.506719,-1.098802,-0.613446,-1.043438,-0.360191,-0.84677,-0.395816,-1.032794,-0.170284,-0.592266,-0.178503,-1.271047,-0.546032,-0.91861,-0.667912,-0.963662,-0.356737,-0.42768,-0.451958,-0.953942,-0.168714,-0.654507,-0.234313,-0.969212,-0.45492,-0.79547,-0.403375,-0.736996,-0.268987,-0.545481,-0.189986,-0.725852,0.050011,-0.115362,0.025959,1.
-1.425855,-0.375613,-0.498055,-0.454696,-1.190918,-0.360191,-0.726751,-0.237429,-1.181266,-0.345245,-0.712483,-0.231187,-1.565107,-0.502268,-0.618631,-0.403809,-1.333003,-0.00747,-0.367863,-0.399425,-1.02824,-0.168714,-0.176313,-0.181877,-1.484656,-0.542629,-0.915862,-0.245408,-1.478139,-0.531602,-0.665211,-0.45254,-1.248178,-0.169124,-0.175259,-0.236449,1.
-0.249892,0.716937,0.523215,0.339052,-0.2323,0.557381,0.533444,0.501711,-0.735851,0.354598,0.068926,0.1376,-0.756443,0.022899,-0.378649,-0.192527,-0.742057,0.210823,0.349941,0.178442,-0.433852,0.530453,0.660526,0.185177,-0.674672,0.027478,-0.374101,-0.140096,-0.662882,-0.356526,-0.365887,0.020058,-0.42738,0.050011,-0.115362,0.025959,1.
0.411587,0.323619,-0.137607,-0.560529,0.726317,0.207829,-0.546723,-0.554203,0.451921,-0.082804,-1.013025,-0.758027,0.34628,0.022899,-0.858614,-0.720733,0.365966,0.036189,-0.846398,-0.714624,-0.136658,-0.343506,-1.013152,-0.70624,0.208947,-0.104085,-0.554688,-0.561342,0.226489,-0.268987,-0.545481,-0.557562,-0.054291,-0.256778,-0.534637,-0.551339,7.
